modelo,record,latidos,errores,n_N,n_S,n_V,Se_S,+P_S,Se_V,+P_V
v1_rr_absoluto,882,1933,23,1887,41,5,0.439,1.0,1.0,0.1923
v1_rr_absoluto,883,1818,37,1771,40,7,0.125,1.0,0.7143,0.1724
v1_rr_absoluto,884,2880,65,2484,53,343,0.1321,1.0,0.9796,0.9628
v1_rr_absoluto,885,1957,295,1504,399,54,0.2857,0.9421,0.9259,0.7246
v1_rr_absoluto,886,2221,661,2168,26,27,0.0,,0.963,0.0379
v1_rr_absoluto,887,2687,129,2352,125,210,0.032,1.0,0.9762,0.967
v1_rr_absoluto,888,2311,47,2189,68,54,0.4853,0.9167,0.8148,0.6875
v1_rr_absoluto,889,1707,106,1464,152,91,0.3684,0.9655,0.967,0.6718
v1_rr_absoluto,890,2172,103,2001,74,97,0.0,,0.9278,0.4839
v1_rr_absoluto,891,2604,306,2120,277,207,0.0181,0.8333,0.9179,0.4139
v1_rr_absoluto,892,2840,343,1740,523,577,0.3748,0.9849,0.9723,0.8962
v1_rr_absoluto,893,2526,115,2188,0,338,,0.0,0.9645,0.9819
v1_rr_absoluto,894,2344,46,2211,80,53,0.55,0.8148,0.8302,0.7458
v2_rr_normalizado,800,1880,23,1844,30,6,0.3667,0.7857,1.0,0.25
v2_rr_normalizado,801,2507,443,2173,66,268,0.0,,0.9963,0.3771
v2_rr_normalizado,802,1669,1,1584,0,85,,0.0,0.9882,1.0
v2_rr_normalizado,803,2065,14,1922,0,143,,0.0,1.0,1.0
v2_rr_normalizado,804,2832,476,2651,0,181,,0.0,0.9558,0.9558
v2_rr_normalizado,805,2296,148,2089,0,207,,0.0,1.0,0.8415
v2_rr_normalizado,806,3019,29,2950,40,29,0.825,0.6226,0.2414,1.0
v2_rr_normalizado,807,1940,11,1911,29,0,0.6207,1.0,,0.0
v2_rr_normalizado,808,1772,15,1744,20,8,0.25,1.0,1.0,0.7273
v2_rr_normalizado,809,2542,105,2430,112,0,0.0625,1.0,,0.0
v2_rr_normalizado,810,1901,4,1837,8,56,0.625,0.8333,1.0,0.9655
v2_rr_normalizado,811,1433,34,1404,1,28,1.0,0.0357,0.3571,1.0
v2_rr_normalizado,812,1840,44,1756,14,70,0.7143,0.2,0.5429,1.0
v2_rr_normalizado,820,2349,157,2161,185,3,0.1514,1.0,1.0,0.019
v2_rr_normalizado,821,3130,583,2480,614,36,0.1873,0.9274,0.5556,0.0377
v2_rr_normalizado,822,2332,658,1673,658,1,0.0015,1.0,1.0,0.5
v2_rr_normalizado,823,2859,218,2477,382,0,0.4372,0.9824,,0.0
v2_rr_normalizado,824,2417,68,2214,196,7,0.8367,0.82,0.7143,0.5
v2_rr_normalizado,825,2796,148,2651,145,0,0.0,,,0.0
v2_rr_normalizado,826,2659,340,2579,80,0,0.7625,0.168,,0.0
v2_rr_normalizado,827,1860,3,1842,18,0,0.9444,0.8947,,
v2_rr_normalizado,828,1911,52,1755,150,6,0.7267,0.9237,1.0,0.1224
v2_rr_normalizado,829,1965,60,1885,80,0,0.5375,0.7288,,0.0
v2_rr_normalizado,840,2384,6,2339,44,1,0.9318,0.9535,1.0,0.5
v2_rr_normalizado,841,1849,1355,1489,106,254,0.0,,1.0,0.1579
v2_rr_normalizado,842,2557,204,2392,104,61,0.4231,0.2857,0.3607,0.3438
v2_rr_normalizado,843,2706,40,2647,21,38,0.4762,0.3704,0.6053,0.9583
v2_rr_normalizado,844,1707,22,1648,59,0,0.8983,0.791,,0.0
v2_rr_normalizado,845,2883,144,2826,27,30,0.1852,0.0862,0.4,0.1463
v2_rr_normalizado,846,1679,4,1659,20,0,0.85,1.0,,0.0
v2_rr_normalizado,847,1760,32,1665,51,44,0.3922,1.0,1.0,0.898
v2_rr_normalizado,848,4257,312,4226,30,1,0.8,0.0741,0.0,0.0
v2_rr_normalizado,849,2138,160,2058,74,6,0.3784,0.2435,0.3333,0.0303
v2_rr_normalizado,850,1836,774,1829,7,0,0.0,,,0.0
v2_rr_normalizado,851,2626,44,2167,32,427,0.0625,0.6667,0.9906,0.9658
v2_rr_normalizado,852,2662,410,2332,321,9,0.0654,0.6176,0.8889,0.0231
v2_rr_normalizado,853,2217,116,2105,48,64,0.2708,0.2826,0.9844,0.4315
v2_rr_normalizado,854,2726,389,1788,460,478,0.3587,0.873,0.8661,0.8809
v2_rr_normalizado,855,2537,184,2034,227,276,0.8238,0.5844,0.9565,0.9925
v2_rr_normalizado,856,2850,15,2810,12,28,0.0,,0.8929,1.0
v2_rr_normalizado,857,2582,198,2400,38,144,0.0,0.0,0.6806,0.4016
v2_rr_normalizado,858,2178,5,2167,8,3,0.375,1.0,1.0,1.0
v2_rr_normalizado,859,3540,130,3007,69,464,0.1304,0.8182,0.9095,0.9254
v2_rr_normalizado,860,2416,8,1672,17,727,0.8235,0.7368,1.0,1.0
v2_rr_normalizado,861,2469,659,1873,569,27,0.1142,0.8784,0.963,0.0436
v2_rr_normalizado,862,2181,2067,2132,26,23,0.0,,0.913,0.0101
v2_rr_normalizado,863,3121,49,2560,321,240,0.9315,0.9432,0.9042,1.0
v2_rr_normalizado,864,1893,53,1742,19,132,0.2105,0.1333,0.7424,0.9159
v2_rr_normalizado,865,3153,1844,1101,1818,234,0.0011,1.0,0.906,0.906
v2_rr_normalizado,866,2664,451,2050,167,447,0.1138,0.3016,0.9374,0.5351
v2_rr_normalizado,867,2998,298,2787,136,75,0.0662,0.3,0.9067,0.2528
v2_rr_normalizado,868,3334,2266,2552,227,555,0.1233,0.2979,0.355,0.096
v2_rr_normalizado,869,2159,339,1506,631,22,0.7036,0.8792,0.3182,0.0269
v2_rr_normalizado,870,2676,435,1785,454,437,0.1652,0.8824,0.8902,0.8294
v2_rr_normalizado,871,1794,13,1774,12,8,0.1667,1.0,1.0,0.381
v2_rr_normalizado,872,1979,0,1896,9,74,1.0,1.0,1.0,1.0
v2_rr_normalizado,873,1665,20,1624,15,26,0.8667,1.0,0.3077,1.0
v2_rr_normalizado,874,2238,21,2188,9,41,0.0,,1.0,0.6613
v2_rr_normalizado,875,2049,280,1944,8,97,0.0,,0.9897,0.2567
v2_rr_normalizado,876,2139,139,2004,135,0,0.637,0.5478,,0.0
v2_rr_normalizado,877,2036,84,1839,196,1,0.7245,0.8712,1.0,0.0192
v2_rr_normalizado,878,1909,52,1589,64,256,0.3125,0.8,1.0,0.8767
v2_rr_normalizado,879,2060,16,1470,48,542,0.7708,0.881,1.0,0.9837
v2_rr_normalizado,880,3485,965,3103,241,141,0.0,0.0,0.7092,0.1067
v2_rr_normalizado,881,2258,702,1323,628,307,0.0955,0.5882,0.7264,0.3557
v2_rr_normalizado,882,1933,22,1887,41,5,0.4878,1.0,0.8,0.16
v2_rr_normalizado,883,1818,31,1771,40,7,0.3,0.9231,0.5714,0.129
v2_rr_normalizado,884,2880,119,2484,53,343,0.0755,1.0,0.8309,0.9468
v2_rr_normalizado,885,1957,226,1504,399,54,0.4536,0.9731,0.963,0.5591
v2_rr_normalizado,886,2221,1275,2168,26,27,0.0,,0.963,0.02
v2_rr_normalizado,887,2687,126,2352,125,210,0.088,0.8462,0.9667,0.9531
v2_rr_normalizado,888,2311,59,2189,68,54,0.3235,0.8148,0.7963,0.7288
v2_rr_normalizado,889,1707,86,1464,152,91,0.6711,0.9107,0.967,0.5828
v2_rr_normalizado,890,2172,423,2001,74,97,0.027,1.0,0.9278,0.1779
v2_rr_normalizado,891,2604,319,2120,277,207,0.0144,0.8,0.9179,0.4051
v2_rr_normalizado,892,2840,290,1740,523,577,0.4818,0.9767,0.9705,0.9003
v2_rr_normalizado,893,2526,86,2188,0,338,,0.0,0.9763,0.9821
v2_rr_normalizado,894,2344,38,2211,80,53,0.625,0.8621,0.8868,0.7705
v3_3clases,800,1880,26,1844,30,6,0.2667,0.6667,1.0,0.24
v3_3clases,801,2507,270,2173,66,268,0.0,,0.9925,0.4991
v3_3clases,802,1669,2,1584,0,85,,0.0,0.9882,0.9882
v3_3clases,803,2065,1,1922,0,143,,0.0,1.0,1.0
v3_3clases,804,2832,388,2651,0,181,,0.0,0.9558,0.9454
v3_3clases,805,2296,111,2089,0,207,,0.0,1.0,0.9241
v3_3clases,806,3019,29,2950,40,29,0.775,0.62,0.3103,1.0
v3_3clases,807,1940,14,1911,29,0,0.5172,1.0,,0.0
v3_3clases,808,1772,17,1744,20,8,0.35,1.0,1.0,0.4
v3_3clases,809,2542,106,2430,112,0,0.0536,1.0,,0.0
v3_3clases,810,1901,7,1837,8,56,0.375,0.6,0.9821,0.9322
v3_3clases,811,1433,33,1404,1,28,1.0,0.0357,0.3929,1.0
v3_3clases,812,1840,47,1756,14,70,0.4286,0.1395,0.5,1.0
v3_3clases,820,2349,161,2161,185,3,0.1351,1.0,1.0,0.0185
v3_3clases,821,3130,563,2480,614,36,0.241,0.9136,0.6389,0.0447
v3_3clases,822,2332,659,1673,658,1,0.0015,1.0,1.0,0.3333
v3_3clases,823,2859,319,2477,382,0,0.1649,1.0,,0.0
v3_3clases,824,2417,57,2214,196,7,0.9031,0.8271,0.7143,0.3571
v3_3clases,825,2796,149,2651,145,0,0.0,,,0.0
v3_3clases,826,2659,357,2579,80,0,0.65,0.1473,,0.0
v3_3clases,827,1860,3,1842,18,0,0.9444,0.8947,,
v3_3clases,828,1911,44,1755,150,6,0.78,0.9213,1.0,0.15
v3_3clases,829,1965,55,1885,80,0,0.525,0.7636,,0.0
v3_3clases,840,2384,6,2339,44,1,0.9318,0.9535,1.0,0.5
v3_3clases,841,1849,1095,1489,106,254,0.0,,1.0,0.1883
v3_3clases,842,2557,222,2392,104,61,0.4327,0.2885,0.4262,0.2889
v3_3clases,843,2706,39,2647,21,38,0.5714,0.4138,0.6316,0.9231
v3_3clases,844,1707,25,1648,59,0,0.8983,0.7465,,0.0
v3_3clases,845,2883,102,2826,27,30,0.1852,0.1136,0.3667,0.2157
v3_3clases,846,1679,8,1659,20,0,0.65,1.0,,0.0
v3_3clases,847,1760,36,1665,51,44,0.3529,1.0,1.0,0.8627
v3_3clases,848,4257,331,4226,30,1,0.8,0.0698,0.0,0.0
v3_3clases,849,2138,199,2058,74,6,0.3378,0.2315,0.5,0.0263
v3_3clases,850,1836,1230,1829,7,0,0.0,,,0.0
v3_3clases,851,2626,49,2167,32,427,0.0625,0.6667,0.9813,0.9632
v3_3clases,852,2662,398,2332,321,9,0.0561,0.6,0.7778,0.0212
v3_3clases,853,2217,114,2105,48,64,0.3542,0.2881,0.9688,0.4627
v3_3clases,854,2726,405,1788,460,478,0.313,0.878,0.8724,0.8598
v3_3clases,855,2537,155,2034,227,276,0.7621,0.6732,0.9457,0.9812
v3_3clases,856,2850,15,2810,12,28,0.0,,0.8929,1.0
v3_3clases,857,2582,182,2400,38,144,0.0263,0.04,0.7986,0.4356
v3_3clases,858,2178,3,2167,8,3,0.625,1.0,1.0,1.0
v3_3clases,859,3540,158,3007,69,464,0.0725,0.625,0.9073,0.8698
v3_3clases,860,2416,5,1672,17,727,0.7059,1.0,1.0,1.0
v3_3clases,861,2469,694,1873,569,27,0.0826,0.8704,0.9259,0.0405
v3_3clases,862,2181,2042,2132,26,23,0.0,,0.913,0.0102
v3_3clases,863,3121,66,2560,321,240,0.8754,0.9398,0.9083,1.0
v3_3clases,864,1893,45,1742,19,132,0.3684,0.2414,0.7652,0.9266
v3_3clases,865,3153,1848,1101,1818,234,0.0017,1.0,0.8974,0.9013
v3_3clases,866,2664,609,2050,167,447,0.0659,0.1571,0.8949,0.44
v3_3clases,867,2998,290,2787,136,75,0.0515,0.3182,0.8267,0.2583
v3_3clases,868,3334,2441,2552,227,555,0.1189,0.2842,0.3315,0.0831
v3_3clases,869,2159,285,1506,631,22,0.6926,0.9278,0.3182,0.0307
v3_3clases,870,2676,464,1785,454,437,0.1167,0.8548,0.8604,0.8393
v3_3clases,871,1794,11,1774,12,8,0.1667,1.0,1.0,0.4211
v3_3clases,872,1979,0,1896,9,74,1.0,1.0,1.0,1.0
v3_3clases,873,1665,21,1624,15,26,0.8,1.0,0.3077,1.0
v3_3clases,874,2238,479,2188,9,41,0.0,,1.0,0.0788
v3_3clases,875,2049,258,1944,8,97,0.0,,1.0,0.274
v3_3clases,876,2139,123,2004,135,0,0.6593,0.5705,,0.0
v3_3clases,877,2036,78,1839,196,1,0.7143,0.8861,1.0,0.0244
v3_3clases,878,1909,56,1589,64,256,0.25,0.8889,1.0,0.8505
v3_3clases,879,2060,21,1470,48,542,0.6458,0.8857,1.0,0.9731
v3_3clases,880,3485,890,3103,241,141,0.0,0.0,0.6383,0.1042
v3_3clases,881,2258,677,1323,628,307,0.1274,0.6957,0.7427,0.4014
v3_3clases,882,1933,23,1887,41,5,0.439,1.0,1.0,0.1786
v3_3clases,883,1818,27,1771,40,7,0.375,1.0,0.7143,0.1724
v3_3clases,884,2880,137,2484,53,343,0.1132,1.0,0.7551,0.9664
v3_3clases,885,1957,185,1504,399,54,0.5589,0.9781,0.9444,0.6145
v3_3clases,886,2221,999,2168,26,27,0.0,,0.9259,0.0245
v3_3clases,887,2687,128,2352,125,210,0.08,1.0,0.9524,0.9524
v3_3clases,888,2311,55,2189,68,54,0.3235,0.8462,0.8519,0.6765
v3_3clases,889,1707,87,1464,152,91,0.625,0.9314,0.967,0.5752
v3_3clases,890,2172,665,2001,74,97,0.0405,1.0,0.9175,0.1193
v3_3clases,891,2604,320,2120,277,207,0.0253,0.7778,0.913,0.3929
v3_3clases,892,2840,329,1740,523,577,0.4092,0.9862,0.9671,0.9015
v3_3clases,893,2526,105,2188,0,338,,0.0,0.9438,0.9815
v3_3clases,894,2344,49,2211,80,53,0.4375,0.8974,0.9245,0.7778
v4_morfologia_relativa,800,1880,30,1844,30,6,0.2667,0.8889,0.6667,0.3636
v4_morfologia_relativa,801,2507,269,2173,66,268,0.0,,0.9963,0.5028
v4_morfologia_relativa,802,1669,3,1584,0,85,,,1.0,0.9659
v4_morfologia_relativa,803,2065,4,1922,0,143,,0.0,1.0,1.0
v4_morfologia_relativa,804,2832,406,2651,0,181,,0.0,0.989,0.6679
v4_morfologia_relativa,805,2296,88,2089,0,207,,0.0,1.0,0.9495
