modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
v1_rr_absoluto,60,2473,3,2473,0,0,0,,0.0,,,,0.0
v1_rr_absoluto,61,1452,1,1451,1,0,0,0.0,,,,,
v1_rr_absoluto,62,2267,469,1451,9,795,12,0.0,0.0,0.4377,0.9971,0.0,0.0
v1_rr_absoluto,63,1992,42,1845,1,138,8,1.0,0.1429,0.7609,1.0,0.0,
v1_rr_absoluto,64,1911,6,1885,0,23,3,,,0.8696,1.0,0.0,
v1_rr_absoluto,65,2662,128,2271,5,382,4,0.6,0.0349,0.9188,0.9943,1.0,0.1
v1_rr_absoluto,66,2338,25,2137,1,200,0,0.0,0.0,0.98,1.0,,
v1_rr_absoluto,67,2973,53,2436,5,531,1,0.0,0.0,1.0,0.9981,0.0,0.0
v1_rr_absoluto,68,2642,17,2479,2,161,0,0.0,0.0,1.0,0.9096,,
v1_rr_absoluto,69,2167,2,1998,1,167,1,1.0,0.5,1.0,0.994,0.0,
v1_rr_absoluto,70,1664,1,1538,126,0,0,0.9921,1.0,,0.0,,
v1_rr_absoluto,71,1668,67,1633,35,0,0,0.9143,0.3333,,,,
v1_rr_absoluto,72,2268,37,1874,8,386,0,0.125,0.1429,0.9896,0.9272,,
v1_rr_absoluto,73,1990,45,1888,32,70,0,0.0,,1.0,0.6087,,
v1_rr_absoluto,74,2403,63,2081,0,274,48,,,0.9453,0.9848,0.0,
v1_rr_absoluto,75,2101,11,1482,0,612,7,,,0.9935,1.0,0.0,
v2_rr_normalizado,1,2755,20,2411,0,344,0,,,0.9913,0.9606,,0.0
v2_rr_normalizado,2,2672,104,2443,0,229,0,,0.0,0.9607,0.8594,,
v2_rr_normalizado,3,2450,85,2323,2,125,0,0.0,0.0,0.336,1.0,,
v2_rr_normalizado,4,2422,83,2268,16,121,17,0.0,0.0,0.6529,0.8876,0.0,0.0
v2_rr_normalizado,5,1774,167,1518,0,247,9,,0.0,0.6275,0.711,0.1111,0.2
v2_rr_normalizado,6,2491,21,2434,48,9,0,0.9583,0.7188,1.0,0.9,,
v2_rr_normalizado,7,2704,14,2638,65,1,0,0.8462,0.9322,1.0,0.1667,,
v2_rr_normalizado,8,2128,45,1776,2,350,0,0.5,0.0256,0.98,0.9856,,0.0
v2_rr_normalizado,9,2987,46,2946,0,41,0,,0.0,0.9756,0.8511,,0.0
v2_rr_normalizado,10,3680,4,3597,0,83,0,,,0.988,0.9762,,0.0
v2_rr_normalizado,11,2080,5,2076,0,4,0,,0.0,0.75,1.0,,
v2_rr_normalizado,12,2807,137,2798,1,6,2,1.0,0.25,0.6667,0.8,0.0,0.0
v2_rr_normalizado,13,2021,79,1791,0,230,0,,0.0,0.987,1.0,,
v2_rr_normalizado,14,1864,9,1800,0,64,0,,0.0,0.9844,1.0,,
v2_rr_normalizado,15,2633,1,2630,0,3,0,,0.0,0.6667,1.0,,
v2_rr_normalizado,16,1520,700,1518,0,2,0,,0.0,0.5,0.0014,,
v2_rr_normalizado,17,1671,392,1644,0,27,0,,0.0,0.0,0.0,,
