modelo,clase,Se,+P,F1,TP,FN,FP,n
baseline_xgb,N,0.9055,0.9617,0.9328,40039,4179,1594,44218
baseline_xgb,S,0.1547,0.2208,0.1819,284,1552,1002,1836
baseline_xgb,V,0.964,0.8525,0.9048,3103,116,537,3219
baseline_xgb,F,0.1366,0.0171,0.0304,53,335,3049,388
cnn,N,0.6973,0.9733,0.8125,30835,13383,847,44218
cnn,S,0.5577,0.6187,0.5867,1024,812,631,1836
cnn,V,0.9618,0.4134,0.5782,3096,123,4394,3219
cnn,F,0.0077,0.0003,0.0007,3,385,8831,388
